公司简称,变动数量(万股),占总股本比例,变动后持股总数(万股),变动后占总股本比例,涨跌幅
*ST海创,21247.6468,14.003400000000001,63068.0256,4.399090909090909,-0.014285714285714266
*ST海医,7457.8925,11.066,920592.2702,7.936814814814815,-0.6200000000000001
*ST海源,6753.4284,23.8384,237732.3521,8.356875,1.1050000000000002
*ST海航,131809.758,8.2627,11937820.8407,18.101190476190474,2.7649999999999997
*ST游久,2520.1000000000004,3.0249,38668.471099999995,9.283999999999999,0.6479999999999999
*ST瀚叶,8289.3582,2.224,20581.8888,1.3442857142857143,4.98
*ST熊猫,1925.8505,11.589400000000001,6297.0677000000005,3.4472727272727273,4.98
*ST猛狮,22117.308,35.178399999999996,329554.7282,8.840447761194032,2.788266666666667
*ST环球,14193.58,27.8179,181095.1934,5.968923076923077,-1.9535714285714285
*ST界龙,767.9754,1.3495,80738.90900000001,18.02,
*ST百花,13220.7449,46.2769,199420.7439,9.099285714285715,2.5575
*ST目药,13934.0995,106.3317,61034.501,5.695340909090909,1.06
*ST科林,1957.3074,10.342600000000001,4677.9892,1.1766666666666667,-0.690952380952381
*ST科迪,1223.5720000000001,2.0065999999999997,98987.192,15.33,-4.14
*ST科陆,16389.0026,10.5391,300170.7228,11.838888888888889,4.4428
*ST索菱,11552.3703,21.3873,46459.585699999996,8.348571428571429,0.25875
*ST绿庭,65316.3742,91.6074,673747.2514,6.267086092715232,-2.2533333333333334
*ST罗顿,16451.2072,37.4905,56749.1972,3.494054054054054,0.3727999999999998
*ST美尚,7491.7098000000005,13.9141,22764.8624,2.4469565217391307,0.38782608695652165
*ST美讯,3731.5495,14.7829,29934.8451,10.77818181818182,
*ST群兴,54532.861899999996,85.9249,1162262.2119,19.196176470588235,-1.621923076923077
*ST联络,33950.7185,11.152800000000001,395613.1272,7.57125,-4.87
*ST聚力,9920.7922,16.871,286584.8837,4.444819277108434,2.3582222222222224
*ST聚龙,13910.7408,23.102,225602.1548,6.127910447761194,2.0863768115942025
*ST腾邦,32393.0172,34.6119,891013.8426,10.104791666666666,1.8015986394557821
*ST艾格,112554.5924,73.7029,4212851.5229,6.858731563421829,-1.7153216374269005
*ST节能,19842.2627,34.1777,182105.5526,2.411639344262295,-1.5740963855421688
*ST荣华,3382.9426,5.0792,9839.8469,4.926666666666667,
*ST蓝丰,260.0497,0.7644,34058.2194,20.028,3.45
*ST西发,14389.4094,54.5743,100663.5829,5.02328947368421,-1.5043421052631578
*ST西水,34760.9247,31.4878,705705.8891,5.4711864406779664,-2.1478275862068967
*ST贵人,6705.615,8.5198,22395.2262,2.7446153846153845,-1.1949999999999998
*ST赛为,2768.172,3.5292000000000003,61224.271499999995,5.209999999999999,1.9699999999999998
*ST赫美,17350.6662,39.1509,1462008.3765,13.221658767772512,3.785
*ST跨境,16905.417,13.001,462596.1462,3.971392405063291,-0.08658536585365857
*ST辅仁,5114.3027,17.1296,106090.9921,17.8925,1.9
*ST辉丰,887.72,2.163,2841.084,0.99,0.8585714285714285
*ST达志,185.66500000000002,1.6804000000000001,25594.2824,3.7055555555555557,-2.892
*ST邦讯,2966.6243,11.834900000000001,19800.7228,2.33969696969697,0.47500000000000003
*ST金刚,27815.5202,20.7087,1530547.6823,13.404947368421054,0.9302970297029703
*ST金正,52100.871,36.6788,17986248.6278,22.312580645161294,-1.019516129032258
*ST金泰,6403.9277,42.9073,30220.9133,3.1875,-0.6892537313432836
*ST金洲,45096.3787,40.4121,475334.45530000003,2.5932,-0.5290434782608695
*ST金贵,2798.4766,3.4913999999999996,2480.0366,1.64,0.8575
*ST金鸿,29879.587,52.295,76093.6453,3.0976470588235294,-1.901578947368421
*ST银亿,39657.482,11.4377,3796464.8285,18.8904,0.05538461538461536
*ST银河,13298.2744,10.249500000000001,440389.54970000003,23.55294117647059,-4.4366666666666665
*ST长动,3198.4341,9.7869,71112.8493,9.891818181818183,1.2879166666666668
*ST雅博,15842.5832,42.8517,459732.01180000004,7.857631578947368,-3.0805263157894736
*ST雪莱,4907.7406,6.2782,131918.71600000001,7.806363636363637,-0.93
*ST飞马,23903.9217,15.0145,7310486.031,41.35439252336449,-0.6654464285714287
*ST香梨,495.4,1.9998,7155.7426,24.22,0.08500000000000002
*ST高升,28297.5723,33.0186,162940.2504,3.6523529411764706,-0.325
*ST麦趣,5357.613,34.0057,333378.2094,33.1551724137931,0.49362068965517253
*ST鼎龙,6377.1605,6.9649,10037.0673,1.0625925925925925,4.89
GQY视讯,11947.1318,37.5104,74919.7075,7.358518518518519,-2.2403703703703703
ST三五,2823.8,5.5885,1518652.6214,36.42754385964912,0.828205128205128
ST中天,2789.97,2.0884,20111.5016,3.6925,0.32666666666666666
ST中安,22918.7788,15.3811,145166.3827,4.5252,0.036874999999999956
ST中捷,3576.3749000000003,5.0023,139444.1151,12.67125,-0.5023076923076922
ST中昌,10496.9783,24.1785,368724.0976,14.867213114754097,0.1681967213114754
ST中珠,82683.1192,41.1996,1153749.0844999999,4.7470138888888895,-0.5804375
ST九有,4849.148,9.0169,54032.922,4.6013636363636365,1.0954166666666667
ST云投,2737.7514,11.8645,39339.8731,17.800833333333333,-0.04799999999999998
ST云维,569.7257999999999,0.5029,193721.4964,21.71375,4.99125
ST亚邦,3141.3426,5.4554,18943.3226,2.9890909090909092,
ST仁智,2.0,0.0,2.0,0.0,2.755
ST信通,7390.0830000000005,12.9702,56263.612799999995,14.078571428571427,-0.5428571428571428
ST光一,6735.6328,15.8178,376076.7099,13.097142857142856,-0.05472222222222223
ST八菱,20227.0656,61.9854,153121.5926,5.45909090909091,0.7468269230769231
ST冠福,12955.0829,7.1462,287774.2611,2.75675,-0.599782608695652
ST创兴,2523.1268,5.8984,5385.2603,1.263,-1.3326666666666667
ST加加,20988.2957,23.9465,133808.76559999998,1.2773322784810126,-0.17361702127659576
ST北文,57939.4097,123.4707,1907912.4249,6.051170431211499,-2.0656938775510207
ST华仪,8897.013500000001,9.6851,183606.6286,34.172222222222224,-2.703333333333333
ST华嵘,12386.7502,55.1491,57648.5378,9.824000000000002,0.12281249999999999
ST华钰,38913.6674,71.308,964082.1357,15.758070175438597,-2.796280991735537
ST华鼎,58134.8644,57.9045,666183.7326,12.351538461538462,-1.009264705882353
ST同洲,19013.0167,26.3696,99062.9681,1.9888235294117649,3.8547058823529414
ST大有,6118.054999999999,2.5593999999999997,336370.3648,23.45,-0.07999999999999996
ST大洲,25685.2366,28.7149,300272.1113,4.72897435897436,-0.51
ST天圣,13.41,0.0411,497.7831,0.1733333333333333,-1.7733333333333334
ST天山,1704.6100000000001,11.3811,14633.331,2.877560975609756,-0.3995121951219513
ST天雁,2012.362,2.073,1242.5696,0.64,4.095
ST天马,27370.8438,21.4155,468498.5306,4.385280898876405,-0.8034444444444445
ST威龙,3215.5998999999997,10.7423,15125.4506,1.165925925925926,-1.69
ST安控,17493.9136,19.629,5338302.3123,12.400555555555556,0.6441777777777778
ST宏图,63913.0179,30.927599999999998,42619.4073,2.179411764705882,2.62
ST宜化,18157.2992,20.217399999999998,51325.9301,6.351111111111111,1.901111111111111
ST尤夫,37638.0953,92.3236,404078.98699999996,15.85765625,-2.3367142857142857
ST岩石,28555.0203,84.2857,688952.0707,9.426834862385322,4.438623853211008
ST庞大,113944.588,18.8712,1185147.8597,8.260625000000001,4.91
ST弘高,4391.4773,17.0732,130828.3631,11.131157894736843,-1.4296907216494845
ST德豪,35059.7254,27.0401,989909.9454,12.229411764705883,-0.27470588235294113
ST摩登,19330.8149,30.1758,12472013.4905,22.543603603603604,-0.34858429858429874
ST新海,26872.1131,18.8197,38156.2116,2.262380952380952,3.4385185185185185
ST方科,20458.5567,9.3195,277281.0996,4.211,1.5526666666666669
ST时万,3582.1166,11.9612,38752.378000000004,6.035172413793103,0.11718749999999997
ST星源,10005.6863,9.5273,137268.7607,3.626666666666667,-1.5828888888888886
ST柏龙,13791.0082,18.3139,125906.3697,2.6666666666666665,-1.2190789473684212
ST柳化,7308.6144,16.203400000000002,46994.2957,11.768,5.0
ST森源,34537.957,24.3751,1303116.1582,10.953203125,-0.10921875000000003
